Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Andhra Petrochem,500012,ANDHRAPET,Chemicals,78.70,668.72,13.18,48.08,41.52,35.54,8.87,-64.32,-52.74,15.12,22.41
Xchanging Sol.,532616,XCHANGING,Computers - Software - Medium / Small,59.85,667.29,-1.81,4.08,12.04,10.77,-5.55,22.05,-20.30,12.37,11.96
Saint-Gob. Sekur,515043,,Glass & Glass Products,73.20,666.92,-1.80,32.05,13.79,10.29,19.38,-16.89,0.96,6.90,13.45
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,122.25,665.98,26.45,61.72,7.05,5.71,63.35,56.46,331.28,16.90,16.66
Sh. Jagdamba Pol,512453,,Packaging,760.20,665.79,24.82,32.61,37.03,34.16,32.69,-38.36,-43.91,,40.81
SMS Pharma.,532815,SMSPHARMA,Pharmaceuticals - Indian - Bulk Drugs,78.40,664.12,3.79,17.96,13.84,13.34,-64.43,-129.35,-59.21,19.71,50.52
Venus Pipes,543528,VENUSPIPES,Steel - Medium / Small,326.85,663.18,,,,,,,,,
Allsec Tech.,532633,ALLSEC,Computers - Software - Medium / Small,437.00,662.88,6.69,22.47,21.54,16.09,16.18,-3.02,27.00,29.80,15.86
Sanmit Infra,532435,,Construction,414.75,655.34,6.98,112.29,21.56,20.00,-25.90,14.44,-33.73,49.35,20.10
HP Adhesives,543433,HPAL,Chemicals,356.25,652.76,,,,,30.66,-62.38,-82.75,,
GIC Housing Fin,511676,GICHSGFIN,Finance - Housing,120.25,651.95,-2.16,0.34,7.75,8.11,-3.53,-16.02,-38.51,2.57,11.39
Creative Newtech,,CREATIVE,Trading,542.70,651.24,35.73,43.48,23.80,24.85,45.03,-61.71,25.37,,41.96
Rama Steel Tubes,539309,RAMASTEEL,Steel - Medium / Small,386.10,647.02,15.07,48.22,14.03,13.62,81.01,13.32,-5.49,,
Oriental Rail,531859,,Miscellaneous,120.00,646.83,7.42,9.82,12.70,22.66,-17.78,44.55,49.48,,
Deep Industries,543288,DEEPINDS,Miscellaneous,201.00,644.16,0.43,74.82,4.04,5.39,38.66,-19.57,1335.25,,
Shreyas Shipping,520151,SHREYAS,Shipping,294.80,642.89,-4.99,92.16,14.78,19.95,-9.82,236.32,159.78,22.88,43.17
Agarwal Indl.,531921,AGARIND,Petrochemicals,443.90,641.55,44.34,67.92,20.13,22.73,43.65,-28.99,0.08,13.70,39.27
Balu Forge,531112,,Engineering,76.70,639.41,1065.61,434.85,23.47,24.63,89.74,64.74,131.32,,99.92
Automotive Stamp,520119,ASAL,Auto Ancillaries,405.55,639.39,8.05,11.41,-10.81,,51.06,-78.85,-840.00,23.42,
Kalyani Invest.,533302,KICL,Finance & Investments,1462.05,638.99,-1.65,-2.18,1.62,1.25,14.80,48.24,-51.05,13.86,
Rossell India,533168,ROSSELLIND,Tea,173.60,635.72,6.34,245.21,12.50,12.67,-17.68,9.73,46.02,16.05,1.98
Waaree Renewab.,534618,,Power Generation And Supply,305.00,634.85,184.14,91.29,13.71,5.04,812.62,-73.35,1140.00,,
Urja Global,526987,URJA,Trading,12.08,634.23,-18.82,325.43,1.43,0.76,-23.76,180.58,-77.78,19.73,
Reliance Communi,532712,RCOM,Telecommunications - Service Provider,2.33,633.11,-48.26,1.81,,,-29.38,-58.30,-11.99,-28.14,
Mac Charles(I),507836,,Construction,478.80,627.23,-10.69,154.38,18.06,30.18,-31.07,-132.57,796.40,14.94,34.30
Rajapalayam Mill,532503,RAJPALAYAM,Textiles - Cotton/Blended,722.95,622.13,18.68,16.27,1.38,6.46,56.05,-1.28,-45.90,14.55,136.54
Kellton Tech,519602,KELLTONTEC,Computers - Software - Medium / Small,64.30,619.69,1.16,-2.79,18.63,17.09,0.98,-12.54,-0.53,29.35,35.78
Spencer's Retail,542337,SPENCERS,Trading,68.15,617.02,1.69,,-5.18,-56.03,-8.53,-248.76,-22.99,,
Deccan Cements,502137,DECCANCE,Cement - South India,437.10,616.20,6.72,30.10,20.22,18.20,-12.93,-25.23,-18.75,16.48,7.84
Timex Group,500414,TIMEXWATCH,Miscellaneous,61.00,615.80,3.06,-24.59,0.22,-12.61,55.38,-62.33,-43.47,9.51,-3.40
